obs,lat,lon
234633,-48,-62.083332
234633,-46.916667,-66.2
234633,-46.85,-66.133333
234633,-46.833333,-64.85
234633,-46.816667,-66.166667
234633,-46.816667,-64.883333
234633,-46.8,-66.2
234633,-46.8,-66.18333300000002
234633,-46.8,-66.066667
234633,-46.783333,-66.2
234633,-46.783333,-66.2
234633,-46.783333,-66.18333300000002
234633,-46.783333,-66.18333300000002
234633,-46.766667,-66.18333300000002
234633,-46.75,-66.133333
234633,-46.733333,-66.15000000000002
234633,-46.733333,-65.066667
234633,-46.733333,-64.816667
234633,-46.716667,-65.75
234633,-46.7,-66.133333
234633,-46.7,-66.1
234633,-46.7,-66.083333
234633,-46.7,-65.966667
234633,-46.7,-64.916667
234633,-46.7,-64.833333
234633,-46.683333,-66.15000000000002
234633,-46.683333,-66.133333
234633,-46.683333,-66.133333
234633,-46.683333,-66
234633,-46.683333,-65.90000000000002
234633,-46.683333,-65.016667
234633,-46.666667,-66.95
234633,-46.666667,-66.133333
234633,-46.666667,-66.066667
234633,-46.666667,-65.93333300000002
234633,-46.666667,-65.05
234633,-46.65,-66.966667
234633,-46.65,-66.1
234633,-46.65,-65.983333
234633,-46.65,-65.966667
234633,-46.65,-65.916667
234633,-46.65,-65.833333
234633,-46.633333,-66.55
234633,-46.633333,-66.18333300000002
234633,-46.633333,-66.1
234633,-46.633333,-65.983333
234633,-46.633333,-65.966667
234633,-46.633333,-65.95
234633,-46.633333,-65.883333
234633,-46.633333,-65.866667
234633,-46.633333,-65.85
234633,-46.633333,-65.816667
234633,-46.616667,-66.866667
234633,-46.616667,-66.85
234633,-46.616667,-66.033333
234633,-46.616667,-65.95
234633,-46.616667,-65.95
234633,-46.616667,-65.866667
234633,-46.616667,-64.833333
234633,-46.616667,-64.783333
234633,-46.6,-66.18333300000002
234633,-46.6,-66.18333300000002
234633,-46.6,-66.1
234633,-46.6,-65.966667
234633,-46.6,-64.85
234633,-46.583333,-66.85
234633,-46.583333,-66.333333
234633,-46.583333,-65.883333
234633,-46.583333,-64.90000000000002
234633,-46.583333,-64.733333
234633,-46.566667,-66.8
234633,-46.566667,-66.55
234633,-46.566667,-66.43333300000002
234633,-46.566667,-66.40000000000002
234633,-46.566667,-66.333333
234633,-46.566667,-66.2
234633,-46.566667,-65.916667
234633,-46.566667,-65.883333
234633,-46.566667,-65.816667
234633,-46.566667,-65.8
234633,-46.566667,-65.783333
234633,-46.566667,-64.93333300000002
234633,-46.55,-66.983333
234633,-46.55,-66.616667
234633,-46.55,-66.366667
234633,-46.55,-65.85
234633,-46.55,-65.833333
234633,-46.55,-65.766667
234633,-46.55,-65.75
234633,-46.533333,-66.666667
234633,-46.533333,-66
234633,-46.533333,-65.93333300000002
234633,-46.533333,-65.833333
234633,-46.533333,-64.816667
234633,-46.533333,-64.816667
234633,-46.516667,-66.55
234633,-46.516667,-66.1
234633,-46.516667,-65.983333
234633,-46.516667,-65.95
234633,-46.516667,-65.90000000000002
234633,-46.516667,-65.866667
234633,-46.516667,-65.816667
234633,-46.516667,-65.116667
234633,-46.5,-66.2
234633,-46.5,-65.983333
234633,-46.5,-65.833333
234633,-46.5,-65.8
234633,-46.5,-65.783333
234633,-46.5,-65.766667
234633,-46.5,-65.766667
234633,-46.5,-65.716667
234633,-46.5,-65.116667
234633,-46.5,-64.8
234633,-46.5,-64.783333
234633,-46.483333,-65.966667
234633,-46.483333,-65.833333
234633,-46.483333,-65.766667
234633,-46.483333,-64.883333
234633,-46.483333,-64.8
234633,-46.483333,-64.733333
234633,-46.466667,-66.216667
234633,-46.466667,-66.166667
234633,-46.466667,-65.983333
234633,-46.466667,-65.8
234633,-46.466667,-65.033333
234633,-46.466667,-64.93333300000002
234633,-46.45,-66.2
234633,-46.45,-66.18333300000002
234633,-46.45,-66.133333
234633,-46.45,-64.90000000000002
234633,-46.433333,-66.2
234633,-46.433333,-65.966667
234633,-46.433333,-65.93333300000002
234633,-46.433333,-65.90000000000002
234633,-46.433333,-65.833333
234633,-46.433333,-65.816667
234633,-46.433333,-65.75
234633,-46.433333,-64.90000000000002
234633,-46.416667,-66.133333
234633,-46.416667,-65.883333
234633,-46.416667,-65.8
234633,-46.416667,-65.733333
234633,-46.416667,-65.733333
234633,-46.4,-66.033333
234633,-46.4,-65.8
234633,-46.4,-65.783333
234633,-46.4,-65.766667
234633,-46.4,-65.766667
234633,-46.4,-65.733333
234633,-46.4,-65.716667
234633,-46.4,-65.166667
234633,-46.4,-65.15000000000002
234633,-46.4,-64.95
234633,-46.383333,-65.833333
234633,-46.383333,-65.816667
234633,-46.383333,-65.766667
234633,-46.383333,-65.766667
234633,-46.383333,-65.733333
234633,-46.383333,-65.716667
234633,-46.383333,-65.18333300000002
234633,-46.383333,-65.15000000000002
234633,-46.366667,-65.816667
234633,-46.366667,-65.716667
234633,-46.366667,-64.90000000000002
234633,-46.35,-65.966667
234633,-46.35,-65.93333300000002
234633,-46.35,-65.75
234633,-46.35,-65.7
234633,-46.35,-64.916667
234633,-46.35,-64.833333
234633,-46.333333,-65.916667
234633,-46.333333,-65.916667
234633,-46.333333,-65.716667
234633,-46.333333,-65.7
234633,-46.333333,-65.68333300000002
234633,-46.333333,-65.216667
234633,-46.333333,-64.983333
234633,-46.333333,-64.866667
234633,-46.316667,-65.733333
234633,-46.316667,-65.716667
234633,-46.316667,-65.666667
234633,-46.316667,-65
234633,-46.316667,-64.68333300000002
234633,-46.3,-65.783333
234633,-46.3,-65.666667
234633,-46.3,-65.15000000000002
234633,-46.3,-65
234633,-46.283333,-66.033333
234633,-46.283333,-65.90000000000002
234633,-46.283333,-65.716667
234633,-46.283333,-65.716667
234633,-46.283333,-64.383333
234633,-46.266667,-65.8
234633,-46.266667,-65.7
234633,-46.25,-65.65000000000002
234633,-46.25,-64.633333
234633,-46.25,-64.533333
234633,-46.233333,-66.18333300000002
234633,-46.233333,-66.1
234633,-46.233333,-65.833333
234633,-46.233333,-65.633333
234633,-46.233333,-65.15000000000002
234633,-46.233333,-65.1
234633,-46.233333,-65.083333
234633,-46.216667,-66.133333
234633,-46.2,-65.966667
234633,-46.2,-65.116667
234633,-46.2,-65.1
234633,-46.183333,-65.85
234633,-46.183333,-65.7
234633,-46.183333,-65.1
234633,-46.183333,-64.733333
234633,-46.166667,-65.90000000000002
234633,-46.166667,-65.883333
234633,-46.166667,-65.68333300000002
234633,-46.166667,-65.65000000000002
234633,-46.166667,-65.65000000000002
234633,-46.166667,-65.583333
234633,-46.166667,-65.233333
234633,-46.166667,-65.116667
234633,-46.15,-65.633333
234633,-46.15,-65.6
234633,-46.15,-65.6
234633,-46.133333,-66.15000000000002
234633,-46.133333,-66.1
234633,-46.133333,-65.716667
234633,-46.133333,-65.6
234633,-46.133333,-64
234633,-46.116667,-65.8
234633,-46.116667,-65.1
234633,-46.116667,-64
234633,-46.1,-65.566667
234633,-46.083333,-65.766667
234633,-46.083333,-65.65000000000002
234633,-46.083333,-64.533333
234633,-46.066667,-65.716667
234633,-46.066667,-65.516667
234633,-46.066667,-65.516667
234633,-46.05,-65.75
234633,-46.05,-64.966667
234633,-46.05,-64.7
234633,-46.05,-64.633333
234633,-46.033333,-64.75
234633,-46.016667,-65.533333
234633,-46.016667,-63.916667
234633,-46,-65.5
234633,-46,-64.90000000000002
234633,-46,-64.716667
234633,-46,-64
234633,-45.9912,-66.610683
